	Cell_types
acinar_cell_of_salivary_gland__myoepithelial_cell	acinar_cell_of_salivary_gland__myoepithelial_cell
adventitial_cell	adventitial_cell
basal_cell	basal_cell
basal_cell_of_prostate_epithelium	basal_cell_of_prostate_epithelium
basophil	basophil
b_cell	b_cell
bladder_urothelial_cell	bladder_urothelial_cell
cardiac_muscle_cell	cardiac_muscle_cell
cell_of_skeletal_muscle	cell_of_skeletal_muscle
ciliated_cell__lung_ciliated_cell	ciliated_cell__lung_ciliated_cell
ciliated_epithelial_cell__epithelial_cell_of_uterus	ciliated_epithelial_cell__epithelial_cell_of_uterus
club_cell_of_prostate_epithelium__hillock_cell_of_prostate_epithelium__hillock_club_cell_of_prostate_epithelium	club_cell_of_prostate_epithelium__hillock_cell_of_prostate_epithelium__hillock_club_cell_of_prostate_epithelium
club_cell__type_i_pneumocyte	club_cell__type_i_pneumocyte
duct_epithelial_cell__serous_cell_of_epithelium_of_bronchus	duct_epithelial_cell__serous_cell_of_epithelium_of_bronchus
duodenum_glandular_cell	duodenum_glandular_cell
early_EVT	early_EVT
early_SCT	early_SCT
early_VCT	early_VCT
endothelial_cell	endothelial_cell
erythrocyte__erythroid_progenitor	erythrocyte__erythroid_progenitor
fibroblast__mesenchymal_stem_cell	fibroblast__mesenchymal_stem_cell
goblet_cell	goblet_cell
hematopoietic_stem_cell	hematopoietic_stem_cell
hepatocyte	hepatocyte
immature_enterocyte__intestinal_crypt_stem_cell__intestinal_crypt_stem_cell_of_small_intestine__transit_amplifying_cell_of_large_intestine	immature_enterocyte__intestinal_crypt_stem_cell__intestinal_crypt_stem_cell_of_small_intestine__transit_amplifying_cell_of_large_intestine
innate_lymphoid_cell	innate_lymphoid_cell
intestinal_enterocyte	intestinal_enterocyte
intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine	intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine
intestinal_tuft_cell	intestinal_tuft_cell
intrahepatic_cholangiocyte	intrahepatic_cholangiocyte
ionocyte__luminal_epithelial_cell_of_mammary_gland	ionocyte__luminal_epithelial_cell_of_mammary_gland
keratinocyte	keratinocyte
kidney_epithelial_cell	kidney_epithelial_cell
late_EVT	late_EVT
late_SCT	late_SCT
late_VCT	late_VCT
luminal_cell_of_prostate_epithelium	luminal_cell_of_prostate_epithelium
macrophage	macrophage
mast_cell	mast_cell
mature_conventional_dendritic_cell	mature_conventional_dendritic_cell
medullary_thymic_epithelial_cell	medullary_thymic_epithelial_cell
melanocyte	melanocyte
mesothelial_cell	mesothelial_cell
monocyte	monocyte
mucus_secreting_cell__secretory_cell__tracheal_goblet_cell	mucus_secreting_cell__secretory_cell__tracheal_goblet_cell
myeloid_progenitor	myeloid_progenitor
neutrophil	neutrophil
nk_cell	nk_cell
pancreatic_acinar_cell	pancreatic_acinar_cell
pancreatic_alpha_cell__pancreatic_beta_cell	pancreatic_alpha_cell__pancreatic_beta_cell
pancreatic_ductal_cell	pancreatic_ductal_cell
pancreatic_stellate_cell	pancreatic_stellate_cell
pericyte_cell	pericyte_cell
plasmablast	plasmablast
plasma_cell	plasma_cell
platelet	platelet
pulmonary_ionocyte	pulmonary_ionocyte
respiratory_goblet_cell__respiratory_mucous_cell__serous_cell_of_epithelium_of_trachea	respiratory_goblet_cell__respiratory_mucous_cell__serous_cell_of_epithelium_of_trachea
salivary_gland_cell	salivary_gland_cell
schwann_cell	schwann_cell
smooth_muscle_cell	smooth_muscle_cell
stromal_cell	stromal_cell
t_cell	t_cell
tendon_cell	tendon_cell
thymocyte	thymocyte
type_ii_pneumocyte	type_ii_pneumocyte
